start_time,end_time,type
0,3,pause
3,6,Schlucken
6,9,pause
9,12,Blinzeln
12,15,pause
15,18,Schlucken
18,21,pause
21,24,FussBewegen
24,27,pause
27,30,FussBewegen
30,33,pause
33,36,Blinzeln
36,39,pause
39,42,ZungeGegenGaumen
42,45,pause
45,48,Blinzeln
48,51,pause
51,54,FussBewegen
54,57,pause
57,60,Schlucken
60,70,pause_between_trials
70,73,pause
73,76,Blinzeln
76,79,pause
79,82,Schlucken
82,85,pause
85,88,Blinzeln
88,91,pause
91,94,Blinzeln
94,97,pause
97,100,FussBewegen
100,103,pause
103,106,FussBewegen
106,109,pause
109,112,ZungeGegenGaumen
112,115,pause
115,118,FussBewegen
118,121,pause
121,124,FussBewegen
124,127,pause
127,130,Blinzeln
130,140,pause_between_trials
140,143,pause
143,146,ZungeGegenGaumen
146,149,pause
149,152,ZungeGegenGaumen
152,155,pause
155,158,ZungeGegenGaumen
158,161,pause
161,164,FussBewegen
164,167,pause
167,170,FussBewegen
170,173,pause
173,176,ZungeGegenGaumen
176,179,pause
179,182,Schlucken
182,185,pause
185,188,Blinzeln
188,191,pause
191,194,ZungeGegenGaumen
194,197,pause
197,200,ZungeGegenGaumen
200,210,pause_between_trials
210,213,pause
213,216,ZungeGegenGaumen
216,219,pause
219,222,Blinzeln
222,225,pause
225,228,Schlucken
228,231,pause
231,234,FussBewegen
234,237,pause
237,240,Schlucken
240,243,pause
243,246,Schlucken
246,249,pause
249,252,Schlucken
252,255,pause
255,258,Schlucken
258,261,pause
261,264,Blinzeln
264,267,pause
267,270,ZungeGegenGaumen
